Ciclo,Plantel,Programa,Línea,Modalidad,Plan,Módulo,No. de módulos,Materias por módulo,Horario escolarizado,Horario ejecutivo,Estado
C2,Aguascalientes,LICENCIATURA EN DERECHO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Aguascalientes,LICENCIATURA EN PEDAGOGIA,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Aguascalientes,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Aguascalientes,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Aguascalientes,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Querétaro,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN (2 años y 3 años),preparatoria,presencial,6,Longitudinal,,,,,Activo
C2,Querétaro,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Querétaro,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Querétaro,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Querétaro,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Querétaro,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN ARQUITECTURA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN DISEÑO GRAFICO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN PEDAGOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Chihuahua,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Chihuahua,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Chihuahua,LICENCIATURA EN INGENIERIA INDUSTRIAL Y DE SISTEMAS,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Veracruz,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Veracruz,LICENCIATURA EN DERECHO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Veracruz,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Veracruz,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Veracruz,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Veracruz,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Tijuana,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN (2 Años),preparatoria,presencial,6,Longitudinal,,,,,Activo
C2,Tijuana,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN ARQUITECTURA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN CONTADURÍA PÚBLICA,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN DISEÑO GRAFICO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Tijuana,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C2,Tijuana,LICENCIATURA EN INGENIERIA EN MANUFACTURA Y ROBOTICA,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
C2,Tijuana,LICENCIATURA EN INGENIERIA EN SISTEMAS COMPUTACIONALES,licenciatura,ejecutiva,"9, 11",Modular,2,,,,Activo
