Ciclo,Plantel,Programa,Línea,Modalidad,Plan,Módulo,No. de módulos,Materias por módulo,Horario escolarizado,Horario ejecutivo,Estado
C1,Chihuahua,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN (3 años),preparatoria,presencial,6,Longitudinal,,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN ARQUITECTURA,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,"9, 11",Modular,2,,,Sabados 8:00 am a 3:00 pm,Activo
C1,Chihuahua,LICENCIATURA EN DISEÑO GRAFICO,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN PEDAGOGIA,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Chihuahua,LICENCIATURA EN INGENIERIA INDUSTRIAL Y DE SISTEMAS,licenciatura,ejecutiva,"9, 11",Modular,2,,,Sabados 8:00 am a 3:00 pm,Activo
C1,Ensenada,LICENCIATURA EN ARQUITECTURA,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
C1,Ensenada,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,presencial,"9, 11",Modular,2,,Lunes a viernes 7:00 am a 2:00 pm,,Activo
